filename,length,chroma_stft_mean,chroma_stft_var,mfcc20_var,label
0.00000.wav,661794,35,9,46936,0
0.00001.wav,661794,34,9,45786,0
0.00002.wav,661794,36,9,30573,0
0.00003.wav,661794,4,9,31949,0
0.00004.wav,661794,31,9,55195,0
0.00005.wav,661794,3,9,46311,0
0.00006.wav,661794,29,9,7017,0
0.00007.wav,661794,31,9,56401,0
0.00008.wav,661794,41,9,36418,0
0.00009.wav,661794,27,9,91469,0
0.00010.wav,661794,3,9,46591,0
0.00011.wav,661794,37,1,28149,0
0.00012.wav,661794,27,9,91439,0
0.00013.wav,661794,26,9,113924,0
0.00014.wav,661794,33,11,113521,0
0.00015.wav,661794,27,9,131138,0
0.00016.wav,661794,3,1,100874,0
0.00017.wav,661794,3,9,64719,0
0.00018.wav,661794,27,1,96437,0
0.00019.wav,661794,26,1,66893,0
0.00020.wav,661794,3,9,73787,0
0.00021.wav,661794,32,1,148474,0
0.00022.wav,661794,31,1,143328,0
0.00023.wav,661794,28,9,74014,0
0.00024.wav,661794,26,1,83637,0
0.00025.wav,661794,29,9,6763,0
0.00026.wav,661794,28,1,170079,0
0.00027.wav,661794,29,9,132021,0
0.00028.wav,661794,28,1,86767,0
0.00029.wav,661794,28,11,77931,0
0.00030.wav,661794,26,9,91008,0
0.00031.wav,661794,25,1,9853,0
0.00032.wav,661794,28,1,75345,0
0.00033.wav,661794,26,9,87807,0
0.00034.wav,661794,26,1,92835,0
0.00035.wav,661794,29,1,48639,0
0.00036.wav,661794,23,9,94539,0
0.00037.wav,661794,25,1,175965,0
0.00038.wav,661794,27,1,59361,0
0.00039.wav,661794,26,1,137456,0
0.00040.wav,661794,4,8,46012,0
0.00041.wav,661794,39,9,46416,0
0.00042.wav,661794,38,9,108991,0
0.00043.wav,661794,4,9,68129,0
0.00044.wav,661794,39,9,92569,0
0.00045.wav,661794,43,9,42815,0
0.00046.wav,661794,39,1,47063,0
0.00047.wav,661794,34,9,43536,0
0.00048.wav,661794,38,8,4661,0
0.00049.wav,661794,28,9,82687,0
0.00050.wav,661794,4,9,55655,0
